country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1967,11537966,Asia,34.02,836.1971382
Afghanistan,2007,31889923,Asia,43.828,974.5803384
Albania,1967,1984060,Europe,66.22,2760.196931
Albania,2007,3600523,Europe,76.423,5937.029526
Algeria,1967,12760499,Africa,51.407,3246.991771
Algeria,2007,33333216,Africa,72.301,6223.367465
Angola,1967,5247469,Africa,35.985,5522.776375
Angola,2007,12420476,Africa,42.731,4797.231267
Argentina,1967,22934225,Americas,65.634,8052.953021
Argentina,2007,40301927,Americas,75.32,12779.37964
Australia,1967,11872264,Oceania,71.1,14526.12465
Australia,2007,20434176,Oceania,81.235,34435.36744
Austria,1967,7376998,Europe,70.14,12834.6024
Austria,2007,8199783,Europe,79.829,36126.4927
Bahrain,1967,202182,Asia,59.923,14804.6727
Bahrain,2007,708573,Asia,75.635,29796.04834
Bangladesh,1967,62821884,Asia,43.453,721.1860862
Bangladesh,2007,150448339,Asia,64.062,1391.253792
Belgium,1967,9556500,Europe,70.94,13149.04119
Belgium,2007,10392226,Europe,79.441,33692.60508
Benin,1967,2427334,Africa,44.885,1035.831411
Benin,2007,8078314,Africa,56.728,1441.284873
Bolivia,1967,4040665,Americas,45.032,2586.886053
Bolivia,2007,9119152,Americas,65.554,3822.137084
Bosnia and Herzegovina,1967,3585000,Europe,64.79,2172.352423
Bosnia and Herzegovina,2007,4552198,Europe,74.852,7446.298803
Botswana,1967,553541,Africa,53.298,1214.709294
Botswana,2007,1639131,Africa,50.728,12569.85177
Brazil,1967,88049823,Americas,57.632,3429.864357
Brazil,2007,190010647,Americas,72.39,9065.800825
Bulgaria,1967,8310226,Europe,70.42,5577.0028
Bulgaria,2007,7322858,Europe,73.005,10680.79282
Burkina Faso,1967,5127935,Africa,40.697,794.8265597
Burkina Faso,2007,14326203,Africa,52.295,1217.032994
Burundi,1967,3330989,Africa,43.548,412.9775136
Burundi,2007,8390505,Africa,49.58,430.0706916
Cambodia,1967,6960067,Asia,45.415,523.4323142
Cambodia,2007,14131858,Asia,59.723,1713.778686
Cameroon,1967,6335506,Africa,44.799,1508.453148
Cameroon,2007,17696293,Africa,50.43,2042.09524
Canada,1967,20819767,Americas,72.13,16076.58803
Canada,2007,33390141,Americas,80.653,36319.23501
Central African Republic,1967,1733638,Africa,41.478,1136.056615
Central African Republic,2007,4369038,Africa,44.741,706.016537
Chad,1967,3495967,Africa,43.601,1196.810565
Chad,2007,10238807,Africa,50.651,1704.063724
Chile,1967,8858908,Americas,60.523,5106.654313
Chile,2007,16284741,Americas,78.553,13171.63885
China,1967,754550000,Asia,58.38112,612.7056934
China,2007,1318683096,Asia,72.961,4959.114854
Colombia,1967,19764027,Americas,59.963,2678.729839
Colombia,2007,44227550,Americas,72.889,7006.580419
Comoros,1967,217378,Africa,46.472,1876.029643
Comoros,2007,710960,Africa,65.152,986.1478792
Congo Dem. Rep.,1967,19941073,Africa,44.056,861.5932424
Congo Dem. Rep.,2007,64606759,Africa,46.462,277.5518587
Congo Rep.,1967,1179760,Africa,52.04,2677.939642
Congo Rep.,2007,3800610,Africa,55.322,3632.557798
Costa Rica,1967,1588717,Americas,65.424,4161.727834
Costa Rica,2007,4133884,Americas,78.782,9645.06142
Cote d'Ivoire,1967,4744870,Africa,47.35,2052.050473
Cote d'Ivoire,2007,18013409,Africa,48.328,1544.750112
Croatia,1967,4174366,Europe,68.5,6960.297861
Croatia,2007,4493312,Europe,75.748,14619.22272
Cuba,1967,8139332,Americas,68.29,5690.268015
Cuba,2007,11416987,Americas,78.273,8948.102923
Czech Republic,1967,9835109,Europe,70.38,11399.44489
Czech Republic,2007,10228744,Europe,76.486,22833.30851
Denmark,1967,4838800,Europe,72.96,15937.21123
Denmark,2007,5468120,Europe,78.332,35278.41874
Djibouti,1967,127617,Africa,42.074,3020.050513
Djibouti,2007,496374,Africa,54.791,2082.481567
Dominican Republic,1967,4049146,Americas,56.751,1653.723003
Dominican Republic,2007,9319622,Americas,72.235,6025.374752
Ecuador,1967,5432424,Americas,56.678,4579.074215
Ecuador,2007,13755680,Americas,74.994,6873.262326
Egypt,1967,31681188,Africa,49.293,1814.880728
Egypt,2007,80264543,Africa,71.338,5581.180998
El Salvador,1967,3232927,Americas,55.855,4358.595393
El Salvador,2007,6939688,Americas,71.878,5728.353514
Equatorial Guinea,1967,259864,Africa,38.987,915.5960025
Equatorial Guinea,2007,551201,Africa,51.579,12154.08975
Eritrea,1967,1820319,Africa,42.189,468.7949699
Eritrea,2007,4906585,Africa,58.04,641.3695236
Ethiopia,1967,27860297,Africa,42.115,516.1186438
Ethiopia,2007,76511887,Africa,52.947,690.8055759
Finland,1967,4605744,Europe,69.83,10921.63626
Finland,2007,5238460,Europe,79.313,33207.0844
France,1967,49569000,Europe,71.55,12999.91766
France,2007,61083916,Europe,80.657,30470.0167
Gabon,1967,489004,Africa,44.598,8358.761987
Gabon,2007,1454867,Africa,56.735,13206.48452
Gambia,1967,439593,Africa,35.857,734.7829124
Gambia,2007,1688359,Africa,59.448,752.7497265
Germany,1967,76368453,Europe,70.8,14745.62561
Germany,2007,82400996,Europe,79.406,32170.37442
Ghana,1967,8490213,Africa,48.072,1125.69716
Ghana,2007,22873338,Africa,60.022,1327.60891
Greece,1967,8716441,Europe,71,8513.097016
Greece,2007,10706290,Europe,79.483,27538.41188
Guatemala,1967,4690773,Americas,50.016,3242.531147
Guatemala,2007,12572928,Americas,70.259,5186.050003
Guinea,1967,3451418,Africa,37.197,708.7595409
Guinea,2007,9947814,Africa,56.007,942.6542111
